Note: Target head pressure setpoints changed as follows,,,,
Through 2/4/13 - 145 psi,,,,
2/4/13 Ð 145psi -> 140psi,,,,
2/20/13 Ð 140psi -> 135psi,,,,
3/7/13 Ð 135psi -> 130psi,,,,
Date & Time,Discharge pressure (psig),Load (tons),Refr compressor power (kW),Utility power (kW)
Wed 1/2/2013 6:15 AM,150,150,132,356
Wed 1/2/2013 6:30 AM,143,113,109,343
Wed 1/2/2013 6:45 AM,143,87,96,344
Wed 1/2/2013 7:00 AM,138,75,92,335
Wed 1/2/2013 7:15 AM,142,84,96,330
Wed 1/2/2013 7:30 AM,145,112,113,346
Wed 1/2/2013 7:45 AM,141,62,90,386
Wed 1/2/2013 8:00 AM,144,140,122,423
Wed 1/2/2013 8:15 AM,135,317,279,718
Wed 1/2/2013 8:30 AM,148,273,179,621
Wed 1/2/2013 8:45 AM,141,153,138,541
Wed 1/2/2013 9:00 AM,144,162,103,451
Wed 1/2/2013 9:15 AM,137,99,72,388
Wed 1/2/2013 9:30 AM,139,87,72,344
Wed 1/2/2013 9:45 AM,146,87,72,339
Wed 1/2/2013 10:00 AM,145,66,66,327
Wed 1/2/2013 10:15 AM,139,32,54,329
Wed 1/2/2013 10:30 AM,146,73,67,330
Wed 1/2/2013 10:45 AM,131,39,53,328
Wed 1/2/2013 11:00 AM,138,114,78,385
Wed 1/2/2013 11:15 AM,138,135,83,403
Wed 1/2/2013 11:30 AM,143,163,106,473
Wed 1/2/2013 11:45 AM,145,249,166,690
Wed 1/2/2013 12:00 PM,144,290,229,741
Wed 1/2/2013 12:15 PM,144,246,207,691
Wed 1/2/2013 12:30 PM,151,157,105,621
Wed 1/2/2013 12:45 PM,142,170,127,610
Wed 1/2/2013 1:00 PM,141,209,140,633
Wed 1/2/2013 1:15 PM,142,178,136,620
Wed 1/2/2013 1:30 PM,139,174,132,644
Wed 1/2/2013 1:45 PM,143,134,122,590
Wed 1/2/2013 2:00 PM,144,249,167,706
Wed 1/2/2013 2:15 PM,144,246,166,675
Wed 1/2/2013 2:30 PM,140,218,142,675
Wed 1/2/2013 2:45 PM,144,249,166,656
Wed 1/2/2013 3:00 PM,143,206,140,639
Wed 1/2/2013 3:15 PM,144,226,152,619
Wed 1/2/2013 3:30 PM,144,222,150,635
Wed 1/2/2013 3:45 PM,144,240,151,667
Wed 1/2/2013 4:00 PM,143,264,202,729
Wed 1/2/2013 4:15 PM,144,163,133,661
Wed 1/2/2013 4:30 PM,142,199,138,643
Wed 1/2/2013 4:45 PM,145,192,140,639
Wed 1/2/2013 5:00 PM,144,212,144,647
Wed 1/2/2013 5:15 PM,146,249,168,665
Wed 1/2/2013 5:30 PM,150,249,233,692
Wed 1/2/2013 5:45 PM,137,202,195,741
Wed 1/2/2013 6:00 PM,145,236,157,676
Wed 1/2/2013 6:15 PM,141,208,142,663
Wed 1/2/2013 6:30 PM,147,246,168,692
Wed 1/2/2013 6:45 PM,145,412,281,807
Wed 1/2/2013 7:00 PM,140,300,231,849
Wed 1/2/2013 7:15 PM,143,309,236,818
Wed 1/2/2013 7:30 PM,144,317,239,825
Wed 1/2/2013 7:45 PM,143,230,207,746
Wed 1/2/2013 8:00 PM,140,201,197,729
Wed 1/2/2013 8:15 PM,143,199,200,675
Wed 1/2/2013 8:30 PM,145,215,145,597
Wed 1/2/2013 8:45 PM,144,215,144,614
Wed 1/2/2013 9:00 PM,140,227,147,612
Wed 1/2/2013 9:15 PM,148,248,170,625
Wed 1/2/2013 9:30 PM,134,155,121,609
Wed 1/2/2013 9:45 PM,142,250,162,591
Wed 1/2/2013 10:00 PM,147,248,169,614
Wed 1/2/2013 10:15 PM,141,213,144,591
Wed 1/2/2013 10:30 PM,145,249,167,668
Wed 1/2/2013 10:45 PM,145,249,165,696
Wed 1/2/2013 11:00 PM,142,213,145,698
Wed 1/2/2013 11:15 PM,141,210,141,686
Wed 1/2/2013 11:30 PM,144,249,167,676
Wed 1/2/2013 11:45 PM,145,292,233,736
Thu 1/3/2013 12:00 AM,146,231,211,719
Thu 1/3/2013 12:15 AM,147,246,169,667
Thu 1/3/2013 12:30 AM,146,248,167,687
Thu 1/3/2013 12:45 AM,144,249,167,684
Thu 1/3/2013 1:00 AM,141,293,230,814
Thu 1/3/2013 1:15 AM,144,361,250,886
Thu 1/3/2013 1:30 AM,145,387,264,928
Thu 1/3/2013 1:45 AM,142,298,229,883
Thu 1/3/2013 2:00 AM,143,300,227,839
Thu 1/3/2013 2:15 AM,144,320,234,842
Thu 1/3/2013 2:30 AM,143,310,231,840
Thu 1/3/2013 2:45 AM,143,248,209,850
Thu 1/3/2013 3:00 AM,143,240,208,865
Thu 1/3/2013 3:15 AM,141,205,169,821
Thu 1/3/2013 3:30 AM,144,264,189,861
Thu 1/3/2013 3:45 AM,142,264,187,864
Thu 1/3/2013 4:00 AM,142,304,205,865
Thu 1/3/2013 4:15 AM,142,282,220,900
Thu 1/3/2013 4:30 AM,141,245,207,897
Thu 1/3/2013 4:45 AM,145,297,229,858
Thu 1/3/2013 5:00 AM,144,290,225,836
Thu 1/3/2013 5:15 AM,147,243,213,803
Thu 1/3/2013 5:30 AM,143,296,227,816
Thu 1/3/2013 5:45 AM,138,253,205,868
Thu 1/3/2013 6:00 AM,144,264,218,793
Thu 1/3/2013 6:15 AM,152,246,172,764
Thu 1/3/2013 6:30 AM,139,292,223,872
Thu 1/3/2013 6:45 AM,136,292,218,854
Thu 1/3/2013 7:00 AM,144,269,215,867
Thu 1/3/2013 7:15 AM,144,291,226,867
Thu 1/3/2013 7:30 AM,143,349,250,892
Thu 1/3/2013 7:45 AM,142,295,230,861
Thu 1/3/2013 8:00 AM,145,309,232,868
Thu 1/3/2013 8:15 AM,143,297,228,898
Thu 1/3/2013 8:30 AM,144,286,224,903
Thu 1/3/2013 8:45 AM,143,280,225,898
Thu 1/3/2013 9:00 AM,145,338,246,911
Thu 1/3/2013 9:15 AM,144,341,244,897
Thu 1/3/2013 9:30 AM,150,408,286,931
Thu 1/3/2013 9:45 AM,144,321,238,969
Thu 1/3/2013 10:00 AM,144,321,241,936
Thu 1/3/2013 10:15 AM,142,285,219,892
Thu 1/3/2013 10:30 AM,144,325,239,863
Thu 1/3/2013 10:45 AM,139,244,205,864
Thu 1/3/2013 11:00 AM,145,256,219,825
Thu 1/3/2013 11:15 AM,143,251,213,825
Thu 1/3/2013 11:30 AM,143,313,232,822
Thu 1/3/2013 11:45 AM,144,295,225,827
Thu 1/3/2013 12:00 PM,146,284,224,884
Thu 1/3/2013 12:15 PM,137,247,202,893
Thu 1/3/2013 12:30 PM,142,231,205,884
Thu 1/3/2013 12:45 PM,144,288,219,887
Thu 1/3/2013 1:00 PM,146,371,263,915
Thu 1/3/2013 1:15 PM,143,299,225,907
Thu 1/3/2013 1:30 PM,144,279,221,922
Thu 1/3/2013 1:45 PM,142,326,230,940
Thu 1/3/2013 2:00 PM,145,324,242,873
Thu 1/3/2013 2:15 PM,140,249,207,859
Thu 1/3/2013 2:30 PM,142,264,213,837
Thu 1/3/2013 2:45 PM,143,301,232,869
Thu 1/3/2013 3:00 PM,143,224,205,802
Thu 1/3/2013 3:15 PM,144,223,208,778
Thu 1/3/2013 3:30 PM,144,285,223,798
Thu 1/3/2013 3:45 PM,143,200,201,767
Thu 1/3/2013 4:00 PM,152,244,175,705
Thu 1/3/2013 4:15 PM,141,201,200,779
Thu 1/3/2013 4:30 PM,143,229,155,727
Thu 1/3/2013 4:45 PM,140,204,139,733
Thu 1/3/2013 5:00 PM,144,249,168,770
Thu 1/3/2013 5:15 PM,149,260,234,794
Thu 1/3/2013 5:30 PM,134,167,233,867
Thu 1/3/2013 5:45 PM,142,187,190,773
Thu 1/3/2013 6:00 PM,144,309,192,795
Thu 1/3/2013 6:15 PM,142,246,171,793
Thu 1/3/2013 6:30 PM,143,278,180,776
Thu 1/3/2013 6:45 PM,143,283,180,793
Thu 1/3/2013 7:00 PM,147,320,215,770
Thu 1/3/2013 7:15 PM,143,245,169,760
Thu 1/3/2013 7:30 PM,143,275,177,757
Thu 1/3/2013 7:45 PM,143,163,107,692
Thu 1/3/2013 8:00 PM,138,184,137,708
Thu 1/3/2013 8:15 PM,144,219,205,799
Thu 1/3/2013 8:30 PM,144,290,228,854
Thu 1/3/2013 8:45 PM,145,269,225,858
Thu 1/3/2013 9:00 PM,143,242,182,837
Thu 1/3/2013 9:15 PM,144,291,200,840
Thu 1/3/2013 9:30 PM,140,308,203,864
Thu 1/3/2013 9:45 PM,138,293,196,860
Thu 1/3/2013 10:00 PM,144,281,198,855
Thu 1/3/2013 10:15 PM,143,271,193,853
Thu 1/3/2013 10:30 PM,141,293,233,901
Thu 1/3/2013 10:45 PM,144,301,238,900
Thu 1/3/2013 11:00 PM,145,268,222,892
Thu 1/3/2013 11:15 PM,143,251,212,873
Thu 1/3/2013 11:30 PM,145,291,229,868
Thu 1/3/2013 11:45 PM,138,246,205,906
Fri 1/4/2013 12:00 AM,145,327,241,898
Fri 1/4/2013 12:15 AM,144,275,225,864
Fri 1/4/2013 12:30 AM,139,272,215,872
Fri 1/4/2013 12:45 AM,142,343,241,898
Fri 1/4/2013 1:00 AM,140,264,214,882
